0.02,0.85,0.13,0.9992

0.01,0.812,0.178,0.9985

0.0,0.0,0.0,0.0

0.056,0.738,0.206,0.9997

0.056,0.738,0.206,0.9997

0.019,0.864,0.117,0.9983

0.022,0.874,0.104,0.9965

0.011,0.855,0.133,0.9995

0.0,0.0,0.0,0.0

0.108,0.794,0.098,-0.885

0.062,0.841,0.097,0.9228

0.036,0.828,0.137,0.9993

0.015,0.847,0.138,0.9958

0.04,0.874,0.086,0.9929

0.036,0.879,0.085,0.9845

0.062,0.822,0.115,0.9965

0.045,0.805,0.15,0.9992

0.0,0.0,0.0,0.0

0.077,0.782,0.141,0.9982

0.036,0.889,0.076,0.9893

0.032,0.826,0.142,0.9995

0.05,0.802,0.149,0.9996

0.039,0.793,0.168,0.9995

0.026,0.871,0.104,0.9952

0.0,0.0,0.0,0.0

0.053,0.781,0.166,0.9982

0.045,0.807,0.148,0.9998

0.098,0.783,0.119,0.9927

0.049,0.815,0.136,0.9989

0.067,0.802,0.131,0.998

0.036,0.825,0.139,0.9996

0.0,0.0,0.0,0.0

0.004,0.887,0.109,0.9926

0.054,0.798,0.149,0.9996

0.003,0.864,0.133,0.998

0.017,0.885,0.098,0.994

0.056,0.851,0.093,0.6705

0.0,0.0,0.0,0.0

0.105,0.823,0.072,-0.996

0.023,0.905,0.072,0.9869

0.06,0.784,0.155,0.9997

0.005,0.82,0.174,0.999

0.0,0.885,0.115,0.9915

0.01,0.893,0.096,0.9956

0.024,0.88,0.095,0.9812

0.025,0.762,0.213,0.9981

0.025,0.889,0.086,0.8241

0.16,0.704,0.137,-0.9804

0.024,0.717,0.258,0.9929

0.028,0.831,0.141,0.997

0.137,0.787,0.076,-0.8617

0.149,0.753,0.098,-0.9791

0.047,0.904,0.049,-0.905

0.044,0.842,0.115,0.9991

0.052,0.844,0.104,0.9978

0.041,0.826,0.133,0.9982

0.021,0.853,0.126,0.9995

0.036,0.799,0.166,0.9948

0.021,0.843,0.136,0.9996

0.181,0.655,0.164,-0.978

0.062,0.788,0.15,0.999

0.1,0.757,0.143,0.9944

0.06,0.816,0.124,0.9972

0.174,0.663,0.163,-0.9586

0.047,0.86,0.093,0.9795

0.048,0.849,0.103,0.9325

0.037,0.86,0.104,0.989

0.093,0.845,0.061,-0.9888

0.057,0.851,0.093,0.9993

0.037,0.895,0.067,0.9882

0.061,0.863,0.076,0.9619

0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0

0.049,0.857,0.095,0.9982

0.018,0.82,0.162,0.9998

0.073,0.827,0.1,0.9844

0.079,0.856,0.066,-0.9245

0.111,0.798,0.091,-0.974

0.112,0.758,0.13,0.905

0.061,0.82,0.119,0.9972

0.0,0.0,0.0,0.0

0.016,0.863,0.121,0.9728

0.137,0.766,0.097,-0.9955

0.097,0.834,0.069,-0.9515

0.152,0.773,0.075,-0.9986

0.096,0.808,0.095,-0.7631

0.0,0.961,0.039,0.6486

0.0,0.0,0.0,0.0

0.0,0.0,0.0,0.0

0.104,0.793,0.102,-0.4264

0.126,0.835,0.039,-0.9984

0.115,0.812,0.073,-0.9941

0.0,0.0,0.0,0.0

0.082,0.819,0.098,0.8778

0.104,0.767,0.129,0.9905

0.052,0.874,0.074,0.9808

0.095,0.82,0.085,-0.5126

0.119,0.78,0.101,-0.9898

0.096,0.766,0.138,0.9969

0.093,0.852,0.055,-0.9434

0.136,0.785,0.08,-0.9995

0.114,0.749,0.137,0.9951

0.112,0.797,0.091,-0.9917

0.108,0.772,0.12,0.9894

0.124,0.779,0.097,-0.9819

0.032,0.869,0.1,0.999

0.102,0.84,0.058,-0.9935

0.119,0.8,0.082,-0.993

0.091,0.746,0.163,0.9744

0.034,0.923,0.042,0.4138

0.097,0.837,0.066,-0.989

0.023,0.856,0.122,0.9991

0.06,0.853,0.087,0.9852

0.07,0.771,0.159,0.9951

